index,S:all,I:all,r0:all,v:all,sto:all,i:all,rep:all,phi:all,log_like
0,0.953403,0.000893443,20.4466,12.8687,0.1,1.93915e-05,0.687319,0.1,-181.459068
1,0.953403,0.000893443,20.4466,12.8687,0.1,1.93915e-05,0.687319,0.1,-181.459068
2,0.953859,0.0008919,20.4277,12.9351,0.1,1.92879e-05,0.688168,0.1,-180.990425
3,0.953859,0.0008919,20.4277,12.9351,0.1,1.92879e-05,0.688168,0.1,-180.990425
4,0.953717,0.000892913,20.5787,13.0015,0.1,1.91848e-05,0.686626,0.1,-180.389303
5,0.953717,0.000892913,20.5787,13.0015,0.1,1.91848e-05,0.686626,0.1,-180.389303
6,0.953603,0.000891578,20.7386,12.9849,0.1,1.93656e-05,0.687691,0.1,-179.522853
7,0.953603,0.000891578,20.7386,12.9849,0.1,1.93656e-05,0.687691,0.1,-179.522853
8,0.953991,0.000890047,20.8386,13.1286,0.1,1.89883e-05,0.688414,0.1,-178.702851
9,0.953991,0.000890047,20.8386,13.1286,0.1,1.89883e-05,0.688414,0.1,-178.702851
10,0.953708,0.00089086,21.2952,13.1451,0.1,1.89628e-05,0.686394,0.1,-177.317533
11,0.953708,0.00089086,21.2952,13.1451,0.1,1.89628e-05,0.686394,0.1,-177.317533
12,0.954075,0.000885959,21.6089,13.2278,0.1,1.90138e-05,0.688783,0.1,-175.915694
13,0.954075,0.000885959,21.6089,13.2278,0.1,1.90138e-05,0.688783,0.1,-175.915694
14,0.954075,0.000885959,21.6089,13.2278,0.1,1.90138e-05,0.688783,0.1,-175.915694
15,0.954075,0.000885959,21.6089,13.2278,0.1,1.90138e-05,0.688783,0.1,-175.915694
16,0.954202,0.000883616,22.7111,13.5244,0.1,1.87724e-05,0.685497,0.1,-174.713571
17,0.954537,0.000881785,23.0052,13.5712,0.1,1.83938e-05,0.688219,0.1,-174.152460
18,0.954537,0.000881785,23.0052,13.5712,0.1,1.83938e-05,0.688219,0.1,-174.152460
19,0.954537,0.000881785,23.0052,13.5712,0.1,1.83938e-05,0.688219,0.1,-174.152460
20,0.954537,0.000881785,23.0052,13.5712,0.1,1.83938e-05,0.688219,0.1,-174.152460
21,0.954803,0.000876763,23.6892,13.6841,0.1,1.85e-05,0.687981,0.1,-174.039668
22,0.954803,0.000876763,23.6892,13.6841,0.1,1.85e-05,0.687981,0.1,-174.039668
23,0.953551,0.000882704,23.559,13.4819,0.1,1.86236e-05,0.685686,0.1,-173.001114
24,0.953551,0.000882704,23.559,13.4819,0.1,1.86236e-05,0.685686,0.1,-173.001114
25,0.953551,0.000882704,23.559,13.4819,0.1,1.86236e-05,0.685686,0.1,-173.001114
26,0.953551,0.000882704,23.559,13.4819,0.1,1.86236e-05,0.685686,0.1,-173.001114
27,0.953551,0.000882704,23.559,13.4819,0.1,1.86236e-05,0.685686,0.1,-173.001114
28,0.954617,0.000881265,23.7375,13.4141,0.1,1.82837e-05,0.687562,0.1,-172.126581
29,0.954617,0.000881265,23.7375,13.4141,0.1,1.82837e-05,0.687562,0.1,-172.126581
30,0.952863,0.000886274,23.5865,13.1729,0.1,1.85546e-05,0.687628,0.1,-171.549537
31,0.952863,0.000886274,23.5865,13.1729,0.1,1.85546e-05,0.687628,0.1,-171.549537
32,0.952793,0.000887203,24.7367,13.1258,0.1,1.86359e-05,0.681875,0.1,-170.782677
33,0.952793,0.000887203,24.7367,13.1258,0.1,1.86359e-05,0.681875,0.1,-170.782677
34,0.953395,0.000883751,25.3826,12.9666,0.1,1.8137e-05,0.686852,0.1,-169.306454
