index,S:all,I:all,r0:all,v:all,sto:all,i:all,rep:all,phi:all,log_like
0,0.360856,5.49345e-05,9.04168,19.2602,0.1,2.4066e-05,0.310867,0.1,-201.814661
1,0.360856,5.49345e-05,9.04168,19.2602,0.1,2.4066e-05,0.310867,0.1,-201.814661
2,0.36035,5.53971e-05,9.16141,19.2508,0.1,2.40154e-05,0.312382,0.1,-201.186914
3,0.36035,5.53971e-05,9.16141,19.2508,0.1,2.40154e-05,0.312382,0.1,-201.186914
4,0.36441,5.52521e-05,9.28216,19.2412,0.1,2.39649e-05,0.30964,0.1,-200.504488
5,0.36441,5.52521e-05,9.28216,19.2412,0.1,2.39649e-05,0.30964,0.1,-200.504488
6,0.368744,5.51364e-05,9.25188,19.2579,0.1,2.37136e-05,0.311529,0.1,-199.684289
7,0.368744,5.51364e-05,9.25188,19.2579,0.1,2.37136e-05,0.311529,0.1,-199.684289
8,0.371474,5.55326e-05,9.51641,19.2226,0.1,2.37102e-05,0.312824,0.1,-198.211993
9,0.371474,5.55326e-05,9.51641,19.2226,0.1,2.37102e-05,0.312824,0.1,-198.211993
10,0.384113,5.52425e-05,9.54724,19.2201,0.1,2.35404e-05,0.309232,0.1,-196.677141
11,0.384113,5.52425e-05,9.54724,19.2201,0.1,2.35404e-05,0.309232,0.1,-196.677141
12,0.392971,5.562e-05,9.7023,19.2251,0.1,2.32526e-05,0.313489,0.1,-194.403838
13,0.392971,5.562e-05,9.7023,19.2251,0.1,2.32526e-05,0.313489,0.1,-194.403838
14,0.406499,5.65136e-05,10.2768,19.1585,0.1,2.31156e-05,0.310689,0.1,-191.272454
15,0.406499,5.65136e-05,10.2768,19.1585,0.1,2.31156e-05,0.310689,0.1,-191.272454
16,0.433932,5.60586e-05,10.5113,19.1789,0.1,2.24651e-05,0.307475,0.1,-175.230177
17,0.433932,5.60586e-05,10.5113,19.1789,0.1,2.24651e-05,0.307475,0.1,-175.230177
18,0.456212,5.74507e-05,11.331,19.1259,0.1,2.17774e-05,0.314555,0.1,-156.378781
19,0.456212,5.74507e-05,11.331,19.1259,0.1,2.17774e-05,0.314555,0.1,-156.378781
20,0.502031,5.79589e-05,12.517,19.0065,0.1,2.11365e-05,0.306825,0.1,-146.209428
21,0.502031,5.79589e-05,12.517,19.0065,0.1,2.11365e-05,0.306825,0.1,-146.209428
22,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
23,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
24,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
25,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
26,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
27,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
28,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
29,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
30,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
31,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
32,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
33,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
34,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
35,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
36,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
37,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
38,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
39,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
40,0.566071,5.81094e-05,13.3367,19.0128,0.1,1.96921e-05,0.309256,0.1,-143.206747
41,0.552055,5.84748e-05,13.3225,18.9891,0.1,2.00908e-05,0.30942,0.1,-143.189762
42,0.552055,5.84748e-05,13.3225,18.9891,0.1,2.00908e-05,0.30942,0.1,-143.189762
43,0.553887,5.85194e-05,13.3711,18.9915,0.1,2.00414e-05,0.309218,0.1,-143.185762
44,0.560557,5.84742e-05,13.442,18.992,0.1,1.98809e-05,0.310007,0.1,-143.183464
45,0.554736,5.8167e-05,13.1286,19.021,0.1,1.99395e-05,0.310309,0.1,-143.176065
46,0.554736,5.8167e-05,13.1286,19.021,0.1,1.99395e-05,0.310309,0.1,-143.176065
47,0.554736,5.8167e-05,13.1286,19.021,0.1,1.99395e-05,0.310309,0.1,-143.176065
48,0.556032,5.86045e-05,13.4274,18.9842,0.1,1.99897e-05,0.309945,0.1,-143.163450
49,0.557913,5.85349e-05,13.3763,19.0031,0.1,1.98891e-05,0.310982,0.1,-143.123626
50,0.55627,5.84533e-05,13.2816,19.0041,0.1,1.99114e-05,0.312272,0.1,-143.081552
51,0.55627,5.84533e-05,13.2816,19.0041,0.1,1.99114e-05,0.312272,0.1,-143.081552
52,0.55627,5.84533e-05,13.2816,19.0041,0.1,1.99114e-05,0.312272,0.1,-143.081552
53,0.55627,5.84533e-05,13.2816,19.0041,0.1,1.99114e-05,0.312272,0.1,-143.081552
54,0.55627,5.84533e-05,13.2816,19.0041,0.1,1.99114e-05,0.312272,0.1,-143.081552
55,0.566928,5.78983e-05,13.0712,19.057,0.1,1.95272e-05,0.313533,0.1,-143.027972
56,0.566928,5.78983e-05,13.0712,19.057,0.1,1.95272e-05,0.313533,0.1,-143.027972
57,0.566928,5.78983e-05,13.0712,19.057,0.1,1.95272e-05,0.313533,0.1,-143.027972
58,0.567888,5.83081e-05,13.2192,19.045,0.1,1.94965e-05,0.316085,0.1,-142.959029
59,0.57127,5.77155e-05,12.8598,19.0833,0.1,1.93137e-05,0.31801,0.1,-142.878234
60,0.57127,5.77155e-05,12.8598,19.0833,0.1,1.93137e-05,0.31801,0.1,-142.878234
61,0.583132,5.72859e-05,12.6569,19.145,0.1,1.88514e-05,0.320925,0.1,-142.769505
62,0.583132,5.72859e-05,12.6569,19.145,0.1,1.88514e-05,0.320925,0.1,-142.769505
63,0.588716,5.70839e-05,12.4883,19.1731,0.1,1.86015e-05,0.326585,0.1,-142.607344
64,0.588716,5.70839e-05,12.4883,19.1731,0.1,1.86015e-05,0.326585,0.1,-142.607344
65,0.588716,5.70839e-05,12.4883,19.1731,0.1,1.86015e-05,0.326585,0.1,-142.607344
66,0.622049,5.5776e-05,11.898,19.2868,0.1,1.74464e-05,0.335031,0.1,-142.361267
67,0.622049,5.5776e-05,11.898,19.2868,0.1,1.74464e-05,0.335031,0.1,-142.361267
68,0.623972,5.55033e-05,11.4153,19.3491,0.1,1.71447e-05,0.345323,0.1,-142.162986
69,0.623972,5.55033e-05,11.4153,19.3491,0.1,1.71447e-05,0.345323,0.1,-142.162986
70,0.646259,5.54645e-05,11.5274,19.3772,0.1,1.64916e-05,0.351934,0.1,-141.951186
71,0.683676,5.31748e-05,10.361,19.522,0.1,1.50727e-05,0.366719,0.1,-141.729718
72,0.722474,5.16958e-05,9.52588,19.6236,0.1,1.36511e-05,0.385966,0.1,-141.541995
73,0.722474,5.16958e-05,9.52588,19.6236,0.1,1.36511e-05,0.385966,0.1,-141.541995
74,0.709081,5.23346e-05,9.62627,19.6082,0.1,1.4011e-05,0.3886,0.1,-141.527641
75,0.73101,5.16072e-05,9.33382,19.6509,0.1,1.33038e-05,0.394963,0.1,-141.430874
76,0.762896,5.034e-05,8.81041,19.7089,0.1,1.22089e-05,0.409995,0.1,-141.357636
77,0.762896,5.034e-05,8.81041,19.7089,0.1,1.22089e-05,0.409995,0.1,-141.357636
78,0.749641,5.10496e-05,8.96306,19.6887,0.1,1.26102e-05,0.408407,0.1,-141.340713
79,0.749641,5.10496e-05,8.96306,19.6887,0.1,1.26102e-05,0.408407,0.1,-141.340713
