index,S:all,I:all,r0:all,v:all,sto:all,i:all,rep:all,phi:all,log_like
0,0.0482292,0.000610031,31.5295,13.6791,0.1,5.62112e-05,0.390108,0.1,-283.929381
1,0.0482292,0.000610031,31.5295,13.6791,0.1,5.62112e-05,0.390108,0.1,-283.929381
2,0.0482292,0.000610031,31.5295,13.6791,0.1,5.62112e-05,0.390108,0.1,-283.929381
3,0.0482292,0.000610031,31.5295,13.6791,0.1,5.62112e-05,0.390108,0.1,-283.929381
4,0.0478906,0.000613066,31.5121,13.6208,0.1,5.62385e-05,0.392484,0.1,-281.003325
5,0.0478906,0.000613066,31.5121,13.6208,0.1,5.62385e-05,0.392484,0.1,-281.003325
6,0.0457768,0.000614514,31.526,13.599,0.1,5.63887e-05,0.39114,0.1,-276.430317
7,0.0457768,0.000614514,31.526,13.599,0.1,5.63887e-05,0.39114,0.1,-276.430317
8,0.0457768,0.000614514,31.526,13.599,0.1,5.63887e-05,0.39114,0.1,-276.430317
9,0.0451488,0.000613651,31.5383,13.6494,0.1,5.65131e-05,0.392944,0.1,-276.415676
10,0.0432558,0.000618637,31.5107,13.5483,0.1,5.64668e-05,0.396871,0.1,-272.795308
11,0.0432558,0.000618637,31.5107,13.5483,0.1,5.64668e-05,0.396871,0.1,-272.795308
12,0.0432558,0.000618637,31.5107,13.5483,0.1,5.64668e-05,0.396871,0.1,-272.795308
13,0.0432558,0.000618637,31.5107,13.5483,0.1,5.64668e-05,0.396871,0.1,-272.795308
14,0.0396542,0.000624439,31.4857,13.515,0.1,5.70946e-05,0.396314,0.1,-271.086187
15,0.0396542,0.000624439,31.4857,13.515,0.1,5.70946e-05,0.396314,0.1,-271.086187
16,0.0396542,0.000624439,31.4857,13.515,0.1,5.70946e-05,0.396314,0.1,-271.086187
17,0.0396542,0.000624439,31.4857,13.515,0.1,5.70946e-05,0.396314,0.1,-271.086187
18,0.0383287,0.000627918,31.5201,13.4261,0.1,5.70856e-05,0.400615,0.1,-270.654131
19,0.0383287,0.000627918,31.5201,13.4261,0.1,5.70856e-05,0.400615,0.1,-270.654131
20,0.0383287,0.000627918,31.5201,13.4261,0.1,5.70856e-05,0.400615,0.1,-270.654131
21,0.0383287,0.000627918,31.5201,13.4261,0.1,5.70856e-05,0.400615,0.1,-270.654131
