index,S:all,I:all,r0:all,v:all,sto:all,i:all,rep:all,phi:all,log_like
0,0.426118,0.000952853,10.3312,18.69,0.1,4.15668e-05,0.235093,0.1,-162.786111
1,0.426118,0.000952853,10.3312,18.69,0.1,4.15668e-05,0.235093,0.1,-162.786111
2,0.425583,0.000952728,10.4612,18.674,0.1,4.11766e-05,0.236335,0.1,-162.522803
3,0.425583,0.000952728,10.4612,18.674,0.1,4.11766e-05,0.236335,0.1,-162.522803
4,0.429868,0.000952602,10.592,18.6578,0.1,4.14321e-05,0.234088,0.1,-162.024508
5,0.429868,0.000952602,10.592,18.6578,0.1,4.14321e-05,0.234088,0.1,-162.024508
6,0.429868,0.000952602,10.592,18.6578,0.1,4.14321e-05,0.234088,0.1,-162.024508
7,0.436314,0.000952952,10.6167,18.6618,0.1,4.08143e-05,0.235093,0.1,-161.593800
8,0.436314,0.000952952,10.6167,18.6618,0.1,4.08143e-05,0.235093,0.1,-161.593800
9,0.440711,0.000952296,10.7514,18.6523,0.1,4.05176e-05,0.233651,0.1,-161.136953
10,0.440711,0.000952296,10.7514,18.6523,0.1,4.05176e-05,0.233651,0.1,-161.136953
11,0.45052,0.000952682,10.8787,18.5883,0.1,4.03483e-05,0.233484,0.1,-160.421236
12,0.45052,0.000952682,10.8787,18.5883,0.1,4.03483e-05,0.233484,0.1,-160.421236
13,0.463617,0.00095246,11.1667,18.5982,0.1,3.91153e-05,0.234101,0.1,-159.686719
14,0.463617,0.00095246,11.1667,18.5982,0.1,3.91153e-05,0.234101,0.1,-159.686719
15,0.477901,0.000951646,11.5551,18.5339,0.1,3.88851e-05,0.229514,0.1,-159.212663
16,0.477901,0.000951646,11.5551,18.5339,0.1,3.88851e-05,0.229514,0.1,-159.212663
17,0.482446,0.000952608,11.5784,18.511,0.1,3.85369e-05,0.230666,0.1,-159.161999
18,0.490001,0.000952196,11.5304,18.5055,0.1,3.81054e-05,0.230845,0.1,-159.068556
19,0.490001,0.000952196,11.5304,18.5055,0.1,3.81054e-05,0.230845,0.1,-159.068556
20,0.490001,0.000952196,11.5304,18.5055,0.1,3.81054e-05,0.230845,0.1,-159.068556
21,0.490001,0.000952196,11.5304,18.5055,0.1,3.81054e-05,0.230845,0.1,-159.068556
22,0.490001,0.000952196,11.5304,18.5055,0.1,3.81054e-05,0.230845,0.1,-159.068556
23,0.490001,0.000952196,11.5304,18.5055,0.1,3.81054e-05,0.230845,0.1,-159.068556
