index,S:all,I:all,r0:all,v:all,sto:all,i:all,rep:all,phi:all,log_like
0,0.837065,0.000399378,14.532,5.19972,0.1,5.13563e-05,0.676722,0.1,-426.298405
1,0.837065,0.000399378,14.532,5.19972,0.1,5.13563e-05,0.676722,0.1,-426.298405
2,0.837065,0.000399378,14.532,5.19972,0.1,5.13563e-05,0.676722,0.1,-426.298405
3,0.833825,0.000397248,14.5635,5.20445,0.1,5.13609e-05,0.677938,0.1,-425.735195
4,0.833825,0.000397248,14.5635,5.20445,0.1,5.13609e-05,0.677938,0.1,-425.735195
5,0.837156,0.000395122,14.7655,5.20452,0.1,5.13656e-05,0.676588,0.1,-424.766202
6,0.837156,0.000395122,14.7655,5.20452,0.1,5.13656e-05,0.676588,0.1,-424.766202
7,0.837156,0.000395122,14.7655,5.20452,0.1,5.13656e-05,0.676588,0.1,-424.766202
8,0.831055,0.000395343,15.0105,5.20246,0.1,5.15843e-05,0.677433,0.1,-423.549708
9,0.831055,0.000395343,15.0105,5.20246,0.1,5.15843e-05,0.677433,0.1,-423.549708
10,0.828804,0.000393795,15.2257,5.21329,0.1,5.13078e-05,0.676722,0.1,-422.137265
11,0.828804,0.000393795,15.2257,5.21329,0.1,5.13078e-05,0.676722,0.1,-422.137265
12,0.826995,0.000387712,15.5739,5.21186,0.1,5.15204e-05,0.676598,0.1,-420.579800
13,0.826995,0.000387712,15.5739,5.21186,0.1,5.15204e-05,0.676598,0.1,-420.579800
14,0.815691,0.000387024,16.1968,5.21662,0.1,5.16238e-05,0.677983,0.1,-417.727157
15,0.815691,0.000387024,16.1968,5.21662,0.1,5.16238e-05,0.677983,0.1,-417.727157
16,0.815111,0.000379816,16.8382,5.23379,0.1,5.13676e-05,0.675332,0.1,-415.052869
17,0.815111,0.000379816,16.8382,5.23379,0.1,5.13676e-05,0.675332,0.1,-415.052869
18,0.80129,0.000370053,17.8781,5.23234,0.1,5.21645e-05,0.675851,0.1,-410.447402
19,0.80129,0.000370053,17.8781,5.23234,0.1,5.21645e-05,0.675851,0.1,-410.447402
20,0.776451,0.0003659,19.3455,5.25934,0.1,5.20887e-05,0.675423,0.1,-400.268029
21,0.776451,0.0003659,19.3455,5.25934,0.1,5.20887e-05,0.675423,0.1,-400.268029
22,0.761802,0.000345271,21.0279,5.29504,0.1,5.22347e-05,0.671662,0.1,-390.414520
23,0.761802,0.000345271,21.0279,5.29504,0.1,5.22347e-05,0.671662,0.1,-390.414520
24,0.705029,0.000327783,23.6652,5.31207,0.1,5.33527e-05,0.674086,0.1,-373.026607
25,0.705029,0.000327783,23.6652,5.31207,0.1,5.33527e-05,0.674086,0.1,-373.026607
26,0.64109,0.000306076,26.6398,5.421,0.1,5.29541e-05,0.670695,0.1,-355.237989
27,0.64109,0.000306076,26.6398,5.421,0.1,5.29541e-05,0.670695,0.1,-355.237989
28,0.563891,0.000262361,29.7368,5.52151,0.1,5.42361e-05,0.665667,0.1,-336.653154
29,0.563891,0.000262361,29.7368,5.52151,0.1,5.42361e-05,0.665667,0.1,-336.653154
30,0.381586,0.000227685,32.5607,5.70844,0.1,5.60125e-05,0.667248,0.1,-318.952110
31,0.381586,0.000227685,32.5607,5.70844,0.1,5.60125e-05,0.667248,0.1,-318.952110
32,0.378948,0.00021913,32.8154,5.84294,0.1,5.52739e-05,0.661088,0.1,-316.511952
33,0.184378,0.000161284,34.354,6.42709,0.1,5.72998e-05,0.659099,0.1,-294.164104
34,0.184378,0.000161284,34.354,6.42709,0.1,5.72998e-05,0.659099,0.1,-294.164104
35,0.184378,0.000161284,34.354,6.42709,0.1,5.72998e-05,0.659099,0.1,-294.164104
36,0.0345763,9.71375e-05,34.9354,8.33638,0.1,6.1011e-05,0.652432,0.1,-171.985864
37,0.0657656,0.000111959,34.8635,7.55823,0.1,5.98604e-05,0.653169,0.1,-164.569637
38,0.114972,0.000145548,34.6633,6.84431,0.1,5.79739e-05,0.659242,0.1,-160.039229
39,0.114972,0.000145548,34.6633,6.84431,0.1,5.79739e-05,0.659242,0.1,-160.039229
40,0.114972,0.000145548,34.6633,6.84431,0.1,5.79739e-05,0.659242,0.1,-160.039229
41,0.114972,0.000145548,34.6633,6.84431,0.1,5.79739e-05,0.659242,0.1,-160.039229
42,0.114972,0.000145548,34.6633,6.84431,0.1,5.79739e-05,0.659242,0.1,-160.039229
43,0.114972,0.000145548,34.6633,6.84431,0.1,5.79739e-05,0.659242,0.1,-160.039229
44,0.114972,0.000145548,34.6633,6.84431,0.1,5.79739e-05,0.659242,0.1,-160.039229
45,0.114972,0.000145548,34.6633,6.84431,0.1,5.79739e-05,0.659242,0.1,-160.039229
46,0.114972,0.000145548,34.6633,6.84431,0.1,5.79739e-05,0.659242,0.1,-160.039229
47,0.114972,0.000145548,34.6633,6.84431,0.1,5.79739e-05,0.659242,0.1,-160.039229
48,0.114972,0.000145548,34.6633,6.84431,0.1,5.79739e-05,0.659242,0.1,-160.039229
49,0.109246,0.000142242,34.6887,6.73979,0.1,5.89551e-05,0.659877,0.1,-147.295423
50,0.109246,0.000142242,34.6887,6.73979,0.1,5.89551e-05,0.659877,0.1,-147.295423
51,0.109246,0.000142242,34.6887,6.73979,0.1,5.89551e-05,0.659877,0.1,-147.295423
52,0.109246,0.000142242,34.6887,6.73979,0.1,5.89551e-05,0.659877,0.1,-147.295423
53,0.109246,0.000142242,34.6887,6.73979,0.1,5.89551e-05,0.659877,0.1,-147.295423
54,0.109246,0.000142242,34.6887,6.73979,0.1,5.89551e-05,0.659877,0.1,-147.295423
55,0.109246,0.000142242,34.6887,6.73979,0.1,5.89551e-05,0.659877,0.1,-147.295423
56,0.109246,0.000142242,34.6887,6.73979,0.1,5.89551e-05,0.659877,0.1,-147.295423
57,0.115795,0.000144041,34.6646,6.7078,0.1,5.8756e-05,0.659803,0.1,-141.368246
58,0.115795,0.000144041,34.6646,6.7078,0.1,5.8756e-05,0.659803,0.1,-141.368246
59,0.115795,0.000144041,34.6646,6.7078,0.1,5.8756e-05,0.659803,0.1,-141.368246
60,0.115795,0.000144041,34.6646,6.7078,0.1,5.8756e-05,0.659803,0.1,-141.368246
61,0.115795,0.000144041,34.6646,6.7078,0.1,5.8756e-05,0.659803,0.1,-141.368246
62,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
63,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
64,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
65,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
66,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
67,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
68,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
69,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
70,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
71,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
72,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
73,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
74,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
75,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
76,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
77,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
78,0.11516,0.000145001,34.6624,6.69064,0.1,5.88172e-05,0.660268,0.1,-141.174602
79,0.115139,0.000144705,34.6639,6.69651,0.1,5.88043e-05,0.66013,0.1,-141.166951
80,0.115139,0.000144705,34.6639,6.69651,0.1,5.88043e-05,0.66013,0.1,-141.166951
81,0.115139,0.000144705,34.6639,6.69651,0.1,5.88043e-05,0.66013,0.1,-141.166951
82,0.115127,0.000144693,34.6638,6.69497,0.1,5.88133e-05,0.660164,0.1,-141.164128
83,0.115136,0.000144683,34.6638,6.69476,0.1,5.88151e-05,0.660154,0.1,-141.155085
84,0.11533,0.000144636,34.6634,6.69638,0.1,5.88011e-05,0.660106,0.1,-141.134134
85,0.11533,0.000144636,34.6634,6.69638,0.1,5.88011e-05,0.660106,0.1,-141.134134
86,0.11529,0.000144069,34.6661,6.70262,0.1,5.88038e-05,0.659908,0.1,-141.074061
87,0.11529,0.000144069,34.6661,6.70262,0.1,5.88038e-05,0.659908,0.1,-141.074061
88,0.11529,0.000144069,34.6661,6.70262,0.1,5.88038e-05,0.659908,0.1,-141.074061
89,0.11529,0.000144069,34.6661,6.70262,0.1,5.88038e-05,0.659908,0.1,-141.074061
90,0.11529,0.000144069,34.6661,6.70262,0.1,5.88038e-05,0.659908,0.1,-141.074061
91,0.115403,0.000143892,34.6663,6.70394,0.1,5.88031e-05,0.659847,0.1,-141.011267
92,0.115403,0.000143892,34.6663,6.70394,0.1,5.88031e-05,0.659847,0.1,-141.011267
93,0.115403,0.000143892,34.6663,6.70394,0.1,5.88031e-05,0.659847,0.1,-141.011267
94,0.115403,0.000143892,34.6663,6.70394,0.1,5.88031e-05,0.659847,0.1,-141.011267
95,0.115403,0.000143892,34.6663,6.70394,0.1,5.88031e-05,0.659847,0.1,-141.011267
96,0.115578,0.000142803,34.6705,6.71629,0.1,5.87969e-05,0.659434,0.1,-140.915417
97,0.115578,0.000142803,34.6705,6.71629,0.1,5.87969e-05,0.659434,0.1,-140.915417
98,0.115578,0.000142803,34.6705,6.71629,0.1,5.87969e-05,0.659434,0.1,-140.915417
99,0.115578,0.000142803,34.6705,6.71629,0.1,5.87969e-05,0.659434,0.1,-140.915417
100,0.115793,0.000142666,34.6703,6.72016,0.1,5.87751e-05,0.659351,0.1,-140.821797
101,0.115793,0.000142666,34.6703,6.72016,0.1,5.87751e-05,0.659351,0.1,-140.821797
102,0.115963,0.000141842,34.6732,6.72699,0.1,5.87839e-05,0.659061,0.1,-140.725157
103,0.116204,0.000140678,34.6774,6.73981,0.1,5.87781e-05,0.658627,0.1,-140.560386
