index,S:all,I:all,r0:all,v:all,sto:all,i:all,rep:all,phi:all,log_like
0,0.745198,0.000325418,1.5194,6.63539,0.1,6.96445e-05,0.475862,0.1,-152.470179
1,0.745198,0.000325418,1.5194,6.63539,0.1,6.96445e-05,0.475862,0.1,-152.470179
2,0.745198,0.000325418,1.5194,6.63539,0.1,6.96445e-05,0.475862,0.1,-152.470179
3,0.749404,0.000324605,1.52479,6.60967,0.1,6.96484e-05,0.478041,0.1,-151.756509
4,0.749404,0.000324605,1.52479,6.60967,0.1,6.96484e-05,0.478041,0.1,-151.756509
5,0.744735,0.000323794,1.55974,6.5843,0.1,6.96523e-05,0.478075,0.1,-151.128520
6,0.744735,0.000323794,1.55974,6.5843,0.1,6.96523e-05,0.478075,0.1,-151.128520
7,0.744735,0.000323794,1.55974,6.5843,0.1,6.96523e-05,0.478075,0.1,-151.128520
8,0.747658,0.00032324,1.60298,6.58693,0.1,6.98372e-05,0.477134,0.1,-146.394875
9,0.747658,0.00032324,1.60298,6.58693,0.1,6.98372e-05,0.477134,0.1,-146.394875
10,0.745198,0.000322013,1.64175,6.56863,0.1,6.96034e-05,0.481982,0.1,-142.439611
11,0.745198,0.000322013,1.64175,6.56863,0.1,6.96034e-05,0.481982,0.1,-142.439611
12,0.744768,0.000323875,1.70609,6.49827,0.1,6.97832e-05,0.481355,0.1,-136.970001
13,0.744768,0.000323875,1.70609,6.49827,0.1,6.97832e-05,0.481355,0.1,-136.970001
14,0.74956,0.000319642,1.82648,6.49047,0.1,6.98705e-05,0.483419,0.1,-132.830535
15,0.74956,0.000319642,1.82648,6.49047,0.1,6.98705e-05,0.483419,0.1,-132.830535
16,0.740367,0.000318149,1.95807,6.41058,0.1,6.9654e-05,0.49048,0.1,-130.978957
17,0.740367,0.000318149,1.95807,6.41058,0.1,6.9654e-05,0.49048,0.1,-130.978957
18,0.743184,0.000319032,1.99039,6.38994,0.1,7.00854e-05,0.487272,0.1,-130.934029
19,0.743048,0.000319913,2.04259,6.38793,0.1,6.98596e-05,0.489841,0.1,-130.933720
20,0.743048,0.000319913,2.04259,6.38793,0.1,6.98596e-05,0.489841,0.1,-130.933720
21,0.743048,0.000319913,2.04259,6.38793,0.1,6.98596e-05,0.489841,0.1,-130.933720
22,0.743048,0.000319913,2.04259,6.38793,0.1,6.98596e-05,0.489841,0.1,-130.933720
23,0.74305,0.000318714,1.98471,6.40154,0.1,6.99357e-05,0.489939,0.1,-130.904304
24,0.742501,0.000321087,1.95478,6.37407,0.1,6.97963e-05,0.489403,0.1,-130.684959
25,0.742501,0.000321087,1.95478,6.37407,0.1,6.97963e-05,0.489403,0.1,-130.684959
26,0.742501,0.000321087,1.95478,6.37407,0.1,6.97963e-05,0.489403,0.1,-130.684959
27,0.742501,0.000321087,1.95478,6.37407,0.1,6.97963e-05,0.489403,0.1,-130.684959
28,0.742501,0.000321087,1.95478,6.37407,0.1,6.97963e-05,0.489403,0.1,-130.684959
29,0.742501,0.000321087,1.95478,6.37407,0.1,6.97963e-05,0.489403,0.1,-130.684959
30,0.74221,0.000318014,2.00851,6.33815,0.1,6.99407e-05,0.493223,0.1,-130.477866
31,0.74221,0.000318014,2.00851,6.33815,0.1,6.99407e-05,0.493223,0.1,-130.477866
32,0.74221,0.000318014,2.00851,6.33815,0.1,6.99407e-05,0.493223,0.1,-130.477866
33,0.740538,0.000319612,1.97374,6.3292,0.1,6.94539e-05,0.495877,0.1,-130.202238
34,0.740556,0.000322264,1.93516,6.302,0.1,6.94762e-05,0.496108,0.1,-129.903886
35,0.740556,0.000322264,1.93516,6.302,0.1,6.94762e-05,0.496108,0.1,-129.903886
36,0.740556,0.000322264,1.93516,6.302,0.1,6.94762e-05,0.496108,0.1,-129.903886
37,0.740556,0.000322264,1.93516,6.302,0.1,6.94762e-05,0.496108,0.1,-129.903886
38,0.735335,0.000318763,1.92961,6.25109,0.1,6.92828e-05,0.50184,0.1,-129.444551
39,0.735335,0.000318763,1.92961,6.25109,0.1,6.92828e-05,0.50184,0.1,-129.444551
40,0.735335,0.000318763,1.92961,6.25109,0.1,6.92828e-05,0.50184,0.1,-129.444551
41,0.736003,0.000322971,1.84466,6.17236,0.1,6.92864e-05,0.503292,0.1,-128.841783
42,0.730986,0.000321729,1.90333,6.14444,0.1,6.85201e-05,0.51422,0.1,-128.055136
43,0.730986,0.000321729,1.90333,6.14444,0.1,6.85201e-05,0.51422,0.1,-128.055136
44,0.730986,0.000321729,1.90333,6.14444,0.1,6.85201e-05,0.51422,0.1,-128.055136
45,0.730986,0.000321729,1.90333,6.14444,0.1,6.85201e-05,0.51422,0.1,-128.055136
46,0.72118,0.000322578,1.81234,6.00762,0.1,6.82147e-05,0.523658,0.1,-126.864893
47,0.72118,0.000322578,1.81234,6.00762,0.1,6.82147e-05,0.523658,0.1,-126.864893
48,0.721781,0.000320141,1.85283,5.93343,0.1,6.82643e-05,0.531068,0.1,-125.773672
49,0.721781,0.000320141,1.85283,5.93343,0.1,6.82643e-05,0.531068,0.1,-125.773672
50,0.714304,0.000324426,1.85298,5.86012,0.1,6.71847e-05,0.541949,0.1,-124.521819
51,0.705149,0.000325379,1.83092,5.74173,0.1,6.6718e-05,0.558131,0.1,-122.780907
52,0.705149,0.000325379,1.83092,5.74173,0.1,6.6718e-05,0.558131,0.1,-122.780907
53,0.705149,0.000325379,1.83092,5.74173,0.1,6.6718e-05,0.558131,0.1,-122.780907
54,0.688063,0.000322903,1.85102,5.53573,0.1,6.51246e-05,0.591375,0.1,-119.794222
55,0.688063,0.000322903,1.85102,5.53573,0.1,6.51246e-05,0.591375,0.1,-119.794222
56,0.658515,0.000331182,1.80307,5.37087,0.1,6.27519e-05,0.623181,0.1,-117.057385
57,0.658515,0.000331182,1.80307,5.37087,0.1,6.27519e-05,0.623181,0.1,-117.057385
58,0.658515,0.000331182,1.80307,5.37087,0.1,6.27519e-05,0.623181,0.1,-117.057385
59,0.636499,0.00033676,1.7795,5.22107,0.1,6.06727e-05,0.660436,0.1,-115.313989
60,0.594344,0.000332546,1.86696,5.11782,0.1,5.77943e-05,0.698292,0.1,-114.002466
61,0.594344,0.000332546,1.86696,5.11782,0.1,5.77943e-05,0.698292,0.1,-114.002466
62,0.594344,0.000332546,1.86696,5.11782,0.1,5.77943e-05,0.698292,0.1,-114.002466
63,0.594344,0.000332546,1.86696,5.11782,0.1,5.77943e-05,0.698292,0.1,-114.002466
64,0.594344,0.000332546,1.86696,5.11782,0.1,5.77943e-05,0.698292,0.1,-114.002466
65,0.594344,0.000332546,1.86696,5.11782,0.1,5.77943e-05,0.698292,0.1,-114.002466
66,0.594344,0.000332546,1.86696,5.11782,0.1,5.77943e-05,0.698292,0.1,-114.002466
67,0.594344,0.000332546,1.86696,5.11782,0.1,5.77943e-05,0.698292,0.1,-114.002466
68,0.594344,0.000332546,1.86696,5.11782,0.1,5.77943e-05,0.698292,0.1,-114.002466
69,0.594344,0.000332546,1.86696,5.11782,0.1,5.77943e-05,0.698292,0.1,-114.002466
70,0.600622,0.000325889,1.99788,5.1454,0.1,5.82009e-05,0.689778,0.1,-112.780791
71,0.588402,0.00032915,2.00029,5.09592,0.1,5.68028e-05,0.709481,0.1,-111.619395
72,0.588402,0.00032915,2.00029,5.09592,0.1,5.68028e-05,0.709481,0.1,-111.619395
73,0.588402,0.00032915,2.00029,5.09592,0.1,5.68028e-05,0.709481,0.1,-111.619395
74,0.588402,0.00032915,2.00029,5.09592,0.1,5.68028e-05,0.709481,0.1,-111.619395
75,0.525482,0.000317201,2.24702,5.03889,0.1,5.31669e-05,0.743234,0.1,-110.723721
76,0.53499,0.000323199,2.21407,5.04762,0.1,5.31364e-05,0.738411,0.1,-110.720774
77,0.53499,0.000323199,2.21407,5.04762,0.1,5.31364e-05,0.738411,0.1,-110.720774
78,0.522342,0.000327625,2.15971,5.03228,0.1,5.22909e-05,0.747914,0.1,-110.712241
79,0.522342,0.000327625,2.15971,5.03228,0.1,5.22909e-05,0.747914,0.1,-110.712241
80,0.522342,0.000327625,2.15971,5.03228,0.1,5.22909e-05,0.747914,0.1,-110.712241
81,0.498182,0.000319424,2.30652,5.02328,0.1,5.04329e-05,0.757816,0.1,-110.279012
82,0.460153,0.000312665,2.5136,5.01365,0.1,4.82604e-05,0.768204,0.1,-110.176563
83,0.460153,0.000312665,2.5136,5.01365,0.1,4.82604e-05,0.768204,0.1,-110.176563
84,0.460153,0.000312665,2.5136,5.01365,0.1,4.82604e-05,0.768204,0.1,-110.176563
85,0.460153,0.000312665,2.5136,5.01365,0.1,4.82604e-05,0.768204,0.1,-110.176563
86,0.460153,0.000312665,2.5136,5.01365,0.1,4.82604e-05,0.768204,0.1,-110.176563
87,0.460153,0.000312665,2.5136,5.01365,0.1,4.82604e-05,0.768204,0.1,-110.176563
88,0.460153,0.000312665,2.5136,5.01365,0.1,4.82604e-05,0.768204,0.1,-110.176563
89,0.460153,0.000312665,2.5136,5.01365,0.1,4.82604e-05,0.768204,0.1,-110.176563
90,0.479146,0.000315723,2.45769,5.01789,0.1,4.89648e-05,0.763911,0.1,-110.139633
91,0.479146,0.000315723,2.45769,5.01789,0.1,4.89648e-05,0.763911,0.1,-110.139633
92,0.449681,0.000311979,2.60723,5.01173,0.1,4.70266e-05,0.771359,0.1,-110.082239
93,0.449681,0.000311979,2.60723,5.01173,0.1,4.70266e-05,0.771359,0.1,-110.082239
94,0.447601,0.000314639,2.56172,5.01066,0.1,4.67769e-05,0.772661,0.1,-110.076160
95,0.472087,0.000319036,2.4287,5.01553,0.1,4.83991e-05,0.766238,0.1,-110.063279
96,0.46452,0.000321469,2.48643,5.0126,0.1,4.67968e-05,0.770761,0.1,-109.743850
97,0.46452,0.000321469,2.48643,5.0126,0.1,4.67968e-05,0.770761,0.1,-109.743850
98,0.46452,0.000321469,2.48643,5.0126,0.1,4.67968e-05,0.770761,0.1,-109.743850
99,0.46452,0.000321469,2.48643,5.0126,0.1,4.67968e-05,0.770761,0.1,-109.743850
100,0.46452,0.000321469,2.48643,5.0126,0.1,4.67968e-05,0.770761,0.1,-109.743850
101,0.46452,0.000321469,2.48643,5.0126,0.1,4.67968e-05,0.770761,0.1,-109.743850
102,0.501486,0.000333103,2.30376,5.02193,0.1,4.86139e-05,0.760611,0.1,-109.598310
103,0.46704,0.00033119,2.49708,5.01228,0.1,4.54813e-05,0.772044,0.1,-109.367386
104,0.46704,0.00033119,2.49708,5.01228,0.1,4.54813e-05,0.772044,0.1,-109.367386
105,0.46704,0.00033119,2.49708,5.01228,0.1,4.54813e-05,0.772044,0.1,-109.367386
106,0.46704,0.00033119,2.49708,5.01228,0.1,4.54813e-05,0.772044,0.1,-109.367386
107,0.537159,0.000354198,2.15025,5.02847,0.1,4.81072e-05,0.756806,0.1,-109.044967
108,0.537159,0.000354198,2.15025,5.02847,0.1,4.81072e-05,0.756806,0.1,-109.044967
109,0.53747,0.000362345,2.11622,5.02674,0.1,4.69681e-05,0.759321,0.1,-108.802472
110,0.53747,0.000362345,2.11622,5.02674,0.1,4.69681e-05,0.759321,0.1,-108.802472
111,0.535827,0.000377908,2.15233,5.02089,0.1,4.38918e-05,0.766542,0.1,-108.227511
112,0.535827,0.000377908,2.15233,5.02089,0.1,4.38918e-05,0.766542,0.1,-108.227511
113,0.535827,0.000377908,2.15233,5.02089,0.1,4.38918e-05,0.766542,0.1,-108.227511
114,0.575314,0.000392624,1.94923,5.03207,0.1,4.5477e-05,0.757962,0.1,-108.217326
115,0.581843,0.000421424,1.92527,5.02779,0.1,4.15115e-05,0.764854,0.1,-107.471970
116,0.581843,0.000421424,1.92527,5.02779,0.1,4.15115e-05,0.764854,0.1,-107.471970
117,0.581843,0.000421424,1.92527,5.02779,0.1,4.15115e-05,0.764854,0.1,-107.471970
118,0.581843,0.000421424,1.92527,5.02779,0.1,4.15115e-05,0.764854,0.1,-107.471970
119,0.549641,0.000428316,2.06123,5.01295,0.1,3.65618e-05,0.778667,0.1,-107.057276
120,0.549641,0.000428316,2.06123,5.01295,0.1,3.65618e-05,0.778667,0.1,-107.057276
121,0.549641,0.000428316,2.06123,5.01295,0.1,3.65618e-05,0.778667,0.1,-107.057276
122,0.57137,0.000490826,1.98969,5.00994,0.1,2.98352e-05,0.784768,0.1,-106.751453
123,0.57137,0.000490826,1.98969,5.00994,0.1,2.98352e-05,0.784768,0.1,-106.751453
124,0.578362,0.000531808,1.87057,5.0063,0.1,2.50293e-05,0.789797,0.1,-106.331683
125,0.595539,0.000575765,1.8323,5.00432,0.1,2.06512e-05,0.792921,0.1,-106.236055
126,0.595539,0.000575765,1.8323,5.00432,0.1,2.06512e-05,0.792921,0.1,-106.236055
127,0.595539,0.000575765,1.8323,5.00432,0.1,2.06512e-05,0.792921,0.1,-106.236055
128,0.595539,0.000575765,1.8323,5.00432,0.1,2.06512e-05,0.792921,0.1,-106.236055
129,0.595539,0.000575765,1.8323,5.00432,0.1,2.06512e-05,0.792921,0.1,-106.236055
130,0.595539,0.000575765,1.8323,5.00432,0.1,2.06512e-05,0.792921,0.1,-106.236055
