"date","London__Creighton__inc","Eyam__Kendall__inc"
"1665-01-01",1,1
"1665-02-01",1,1
"1665-03-01",1,1
"1665-04-01",1,1
"1665-05-01",1,1
"1665-06-01",1,1
"1665-07-01",1,1
"1665-08-01",1,1
"1665-09-01",1,1
"1665-10-01",1,1
"1665-11-01",1,1
"1665-12-01",1,1
"1666-01-01",1,1
