"date","Madeira__ecdc__inc"
2012-09-24,9
2012-10-01,145
2012-10-08,173
2012-10-15,219
2012-10-22,395
2012-10-29,164
2012-11-05,252
2012-11-12,315
2012-11-19,219
2012-11-26,102
2012-12-03,57
2012-12-10,53
2012-12-17,24
2012-12-24,9
2012-12-31,8
2013-01-07,10
2013-01-14,5
