index,time,S:Madeira__all,I:Madeira__all,R:Madeira__all,obs_mean:Madeira__ecdc__inc,obs_real:Madeira__ecdc__inc
300,7,14523.5,232.349,252546,62.5747,57.047
300,14,14250.3,483.763,252568,136.487,144.952
300,21,13736.5,710.56,252855,198.323,184.088
300,28,12941.6,940.415,253420,260.568,268.644
300,35,11450,1337.03,254515,370.719,395.074
300,42,10343.4,1188.36,255770,306.357,307.356
300,49,9341.99,1087.78,256872,278.817,261.018
300,56,8561.09,1057.26,257684,269.313,278.015
300,63,8002.83,860.181,258439,208.699,192.056
300,70,7654.25,567.185,259081,128.913,149.174
300,77,7592.94,345.781,259363,76.833,72.621
300,84,7758.05,242.646,259301,55.6257,62.6682
300,91,7987.1,147.65,259167,33.1996,43.4222
300,98,8299.17,77.9473,258925,17.3612,18.0972
300,105,8688.58,47.1143,258566,10.9793,7.92595
300,112,9107.54,40.6529,258154,9.97686,13.3847
300,119,9528.49,27.916,257746,6.77804,4.82263
350,0,15719.4,247.666,251335,0,0
350,7,15774.3,286.881,251241,68.5682,80.9595
350,14,15387.1,575.774,251339,142.954,137.454
350,21,14702.8,855.798,251743,210.317,177.603
350,28,13678.9,1138.06,252485,277.437,315.421
350,35,11869,1581.8,253851,384.854,396.449
350,42,10413.7,1396.49,255492,313.739,446.177
350,49,9221.42,1234.91,256846,273.74,206.813
350,56,8460.23,1171.54,257670,258.134,196.554
350,63,7912.79,939.861,258449,197.018,247.025
350,70,7551.56,615.395,259135,120.435,143.185
350,77,7485.98,376.425,259440,71.9201,73.2626
350,84,7657.61,265.233,259379,52.3222,41.4512
350,91,7883.98,162.982,259255,31.5184,30.4635
350,98,8189.64,88.1727,259024,16.8835,16.1001
350,105,8573.46,54.0821,258674,10.8238,12.4718
350,112,8989.83,45.814,258266,9.6681,9.51108
350,119,9408.81,31.6662,257862,6.62248,9.87559
400,0,13988.3,9.49244,253304,0,0
400,7,14411.3,26.6482,252864,6.86967,6.25444
400,14,14256,381.988,252664,99.5653,92.3016
400,21,13775,672.988,252854,171.626,199.099
400,28,12917.1,979.064,253406,246.426,252.286
400,35,11337.1,1446.32,254519,363.056,337.428
